Lyrics,Direct Translation,Poetic Translation
Altri che voi so ben che non m'intende. ,LINK,"Nobody else but you can understand me,"
"Quando agli ardenti rai neve divegno, ",http://www1.cpdl.org/wiki/index.php/Altri_che_voi_(Jacques_Arcadelt),"And when I melt like snow in sun collapses,"
vostro gentile sdegno ,See A. S. Kline's work at Choral Public Domain Library.,Your gentle scorn perhaps is
forse ch'allor mia indignitate offende. ,,"Since you, of course, my worthless nature can see."
"Oh, se questa temenza ",,"Oh, if that doubt and fear grew"
"non temprasse l'arsura che m'incende, ",,"And did not quench the burning flames that brand me,"
beato venir men! ché 'n lor presenza ,,"How fortunate I'd be! When I'm about you,"
m'è più caro il morir che 'l viver senza.,,It's sweeter far to die than live without you.
,,
Petrarch,,Carol Anne Perry Lagemann
