Lyrics,Direct Translation,Poetic Translation
Antes que comáis a Dios,LINK,"Ere you eat the Body Scarred,"
En este sacro manjar,http://www1.cpdl.org/wiki/index.php/Antes_que_com%C3%A1is_a_Dios_(Francisco_Guerrero),"In this, the Holiest Meal,"
"Alma, será bien pensar",See translation at Choral Public Domain Library.,"O Soul, truly think and feel"
Quién es Dios y quién sois vos.,,Who is God and who you are.
,,
"Antes que, en vuestra posada ",,Ere into your body sinful
recibáis al Rey del cielo,,"You receive the King of Heaven,"
"Vivid, alma, con recelo",,"O Soul, take the time to question"
Si estáis bien aparejada.,,If there's room or if your inn's full.
,,
Y pues recibís a Dios,,When you take the Body Scarred
En este sacro manjar,,"In this, the Holiest Meal,"
"Alma, será bien pensar",,"O Soul, think well; truly feel"
Quién es Dios y quién sois vos.,,Who is God and who you are.
,,
Francisco Guerrero,,Carol Anne Perry Lagemann
