Lyrics,Direct Translation,Poetic Translation
Ara pot hom conoisser e proar,LINK,Mighty the bounty that for a great feat
"Que de bos faitz rend Dieus bon guizerdon,",http://trobar.org/troubadours/raimbaut_de_vaqueiras/raimbaut_de_vaqueiras_19.php,"Comes from our God, it is proven and known:"
"C'al pro marques n'a faich esmend' e don,",See Leonardo Malcovati's work at Trobar.org.,"To the Marquis He gave honors to own,"
Q'el fai son pretz sobre.ls meillors pojar,,He who by merit the best would defeat.
Tant qe.il crozat de Frans' e de Campaigna,,For the crusaders of France's foundation
L'an quist a Dieu per lo meillor de totz,,And of Champagne have asked God that he might
E per cobrar lo sepulcr' e la crotz,,"Win back the cross and the sepulcher's site,"
"On Jhesus fon, q'el vol en sa compaigna",,Where Jesus was; the Marquis's aspiration
"L'onrat marques, et a.il Dieus dat poder",,"Is to serve Jesus, and God him has brought"
De bons vassals e de terr' e d'aver,,Vassals and riches and land by the lot
E de ric cor per far miels so que.il taigna.,,And a brave heart to meet this obligation.
,,
Tant a d'onor e vol honratz estar,,"So great his honor, his faith so replete,"
Q'el honra Dieu e pretz e mession,,"Valuing merit, largesse, and God's Throne,"
"E si mezeis, que s'eron mil baron",,Also himself; if the barons were grown
"Ensems ab lui, de totz si sap honrar,",,"Thousands, them all he'd in honor defeat."
"Q'el honra.ls sieus et honra gen estraigna,",,He treats the stranger as his own relation:
Per q'es desus qan l'autre son desotz;,,Praise him when all other men we indict.
C'a tal honor a levada la crotz,,"He wears the cross with such honor and right,"
"Que non par ges mais honors li sofraigna,",,He is of honor the right culmination;
"C'ad honor vol est segl' e l'autr' aver,",,Since for this world and the next he has fought.
"E Dieus a.l dat forssa, geing e saber",,"Strength, wit, and learning by God he was taught"
"Co.ls ai' amdos, e tant qant pot s'en laigna.",,"To win them both, and he strives in elation."
,,
Cel qui fetz air' e cel e terr' e mar,,"He Who made sky, earth, and sea, snow and sleet,"
E freig e caut e ploi' e vent e tron,,"Cold, heat, and rain, wind and thunder, alone"
"Vol q'el sieu guit passon mar tuich li bon,",,Wants to lead good men to countries unknown
Si cum guidet Melchion e Gaspar,,"As He led magi to Bethlehem sweet,"
"En Bethleem, que.l plan e la montaigna",,"Since the Turks hold from us most of creation,"
"Nos tolen Turc, e Dieus no.n vol dir motz.",,"Meadows and mountains, in God's silent sight."
"Mas a nos taing, per cui fo mes en crotz,",,God for us died; it befits us to smite
"Que lai passem, e qui que sai remaigna",,"His foreign foes; he who feels hesitation,"
"Vol s'avol vid' e sa greu mort vezer,",,"Pitiful life, sorry death are his lot,"
"Q'en laig pechat estam c'om deu temer,",,"For in our filthiest sins we are caught,"
Don qecs er soutz si.n flum Jordan si baigna.,,And in the Jordan is found our salvation.
,,
"Dieus si laisset vendre per nos salvar,",,"For us, our God faced dishonor complete,"
"E.n soffri mort e.n receup passion,",,"Suffered and died without murmur or groan,"
"E l'auniront per nos Juzeu fellon,",,"Taunted by fiendish Jews all alone,"
"E.n fon batutz e liatz al pilar,",,"Bound to a pillar and whipped in the street,"
E.n fon levatz el trau q'er' en la faigna,,"Raised on a beam in the mud's desolation,"
E correjatz de correjas ab noz,,"Lashed with the scourge and its barbs that will bite,"
E coronatz d'espinas en la crotz:,,And crowned with thorns on the cross for our plight:
Per q'a dur cor totz hom qe.l dan non plagna,,Hard-hearted he who feels no indignation
