Lyrics,Direct Translation,Poetic Translation
Asia felice hor ben posso chiamarmi,LINK,"I, Asia, justly call myself contented;"
Ch’è vint’in mar di me l’empio nemico.,http://www1.cpdl.org/wiki/index.php/Asia_felice_(Andrea_Gabrieli),At sea my enemy now is defeated.
Ma più sarò quando con gaudio l’armi,See Mick Swithinbank's work at Choral Public Domain Library.,"But joy will come when, with glad arms presented,"
De’ figli miei faransi ogn’un amico.,,My sons have all the world in friendship greeted.
,,
Et io più all’hor felice Affrica piene,,"I, Africa, am happier, as flooded"
Havrò di frutti e fior l’aride arene,,"With fruits are fertile lands, Nature's successes,"
"E, per campagne più che mai feconde",,"And flowing through the fields with flowers studded,"
Porterà il Nilo al mar d’argento l’onde.,,Unto the silver sea the Nile progresses.
,,
Felice Europa anch’io godo non meno,,"I, Europe, revel, joy no less than my neighbors,"
Che più che mai con gloriose prove,,In forceful charm and glory undivided.
"Hor sotto un vero Dio, non falso Giove",,"With God, not Jove of pagans, to spur my labors,"
Havrò del mond’ un’ altra volta il freno.,,I take the world now in my hand and guide it.
,,
Andrea Gabrieli,,Carol Anne Perry Lagemann
