"Lyrics	Transliteration	Direct Translation	Poetic Translation",,,,,,
"・V・ｵ・ｫ	atarashiki	at the new	""At the New Year's dawn","
・N・ﾌ・n・ﾟ・ﾉ・・	toshi no hajime ni ya	year's beginning	At the New Year's wonderful birth","
・ｩ・ｭ・ｵ・ｱ・ｻ・@・ﾍ・・	kaku shikoso hare	the certainly hidden things"," hare""	""The hidden things", oh hare,"
			
・ｩ・ｭ・ｵ・ｱ・ｻ	kaku shikoso	the certainly hidden things	Oh"," the hidden things:"""
"・d・ﾖ・ﾜ・ﾂ・・・ﾟ・・	tsukae matsurame ya	serve and deify	""Worship", deify," and bow down""",,,,
"・・・・・ﾜ・ﾅ・ﾉ	yorozuyo made ni	for tens of thousands of years	For tens of thousands of years.",,,,,,
"			",,,,,,
"・・・・・・@・ｻ・ｱ・・・ｵ・・	aware soko yoshi ya	[I] feel compassion; there is good	I am moved; for here there is good",,,,,,
"・・・・・ﾜ・ﾅ・ﾉ	yorozuyo made ni	for tens of thousands of years	For tens of thousands of years.",,,,,,
"			",,,,,,
"Anonymous	""Markham", Elizabeth. Saibara: Japanese Court Songs of the Heian Period. Vol. 2. Cambridge: Cambridge UP," 1983. Print. ""	Carol Anne Perry Lagemann	Carol Anne Perry Lagemann",,,,
