Lyrics,Direct Translation,Poetic Translation
Audite nova!,LINK,Hear ye the good news!
"Der Baur von Eselskirchen, ",http://www1.cpdl.org/wiki/index.php/Audite_Nova!_(Orlando_di_Lasso),"At Donkeychurch, the farmer,"
"der hat ein feiste gaga Gans,",See translation at Choral Public Domain Library.,"he has a meaty goo goo goose,"
das gyri gyri gaga Gans!,,a gyri gyri goo goo goose!
"Die hat ein langen, feisten, dicken, weidelichen Hals,",,"It has a lengthy, meaty, burly, pasture-fattened neck."
"bring her die Gans, ",,Bring forth the goose!
"hab dir’s, mein trauter Hans!",,"Have at it, dearest Bruce!"
"Rupf sie, zupf sie, feud sie, brat sie, z’reiss sie, friss sie!",,"Pull it, pluck it, boil it, roast it, carve it, eat it!"
"Das ist Sankt Martins Vögelein, ",,This is Saint Martin's precious bird;
dem können wir nit Feind sein!,,his wrath mustn't be incurred!
"Knecht Heinz, bring her ein guten Wein ",,"Hey Bert, bring wine, the most preferred,"
und schenk uns tapfer ein;,,"and pour it, undeterred!"
"lass umhergahn, in Gottes Nam’ trinken wir gut Wein und Bier",,"Pass out the booze; by God, we do drink the finest wine and beer"
"auf die g’sottne Gans, auf die bratne Gans, auf die junge Gans,",,"to the simmered goose, to the roasted goose, to the tender goose:"
dass sie uns nit schaden mag.,,May no harm to us it do.
,,
Orlando di Lasso,,Carol Anne Perry Lagemann
