Lyrics,Direct Translation,Poetic Translation
"Ave Maria,","Hail, Mary,","Hail, blessed Mary,"
"gratia plena,",full of grace;,"bounteous with mercy,"
Dominus tecum.,the Lord is with you.,God always with you;
"Benedicta tu in mulieribus,","Blessed are you among women,","You are sanctified, among all women blest,"
et benedictus fructus ventris tui:,"and blessed is the fruit of your womb,",and blessed is the fruit born of your body:
Jesus Christus.,Jesus Christ.,"Jesus, Savior."
"Sancta Maria mater Dei,","Holy Mary, mother of God,","Holy Saint Mary, Mother of God,"
ora pro nobis peccatoribus,pray for us sinners,"pray for your children, sinners that we are,"
"nunc, et in hora mortis nostrae.","now, and in the hour of our death.",now and upon our final moments.
Amen.,Amen.,Amen.
,,
Catechism of the Council of Trent,Carol Anne Perry Lagemann,Carol Anne Perry Lagemann
"Based on Luke 1:28, 42",,
