Lyrics,Direct Translation,Poetic Translation,Notes
Como Santa María fez a un cavaleiro que gãasse ũa igreja que lle prometera.,How Holy Mary caused a knight to win a church which he had promised to Her.,,
,,,
"Como a demais da gente | quér gãar per falssidade,","Just as othe rpeople try to win through falsehood,","Much as others try to win things through deceit and shameless lying,",
assí quér Santa María | gãar per sa santidade.,so does Holy Mray win through holiness.,Holy Mary always triumphs through Her Holiness undying.,
,,,
Ca se Déus déu aas gentes | jógos pera alegría,"For if God gave people games so that they might have amusement,",For to people games were given by the Father to amuse them.,
"averen, todo o tórnan | elas en tafuraría,",they turn everything into gambling,"But we turn them into gambling; to make money, we misuse them.",
e daquesta guisa quéren | gãar; mais Santa María,"and try to prosper in this way. However, such profit",But we know that Holy Mary frowns on wagers when She views them;,
"non lle praz de tal gaança, | mais da que é con verdade.",does not please Holy Mary but only that won honestly.,"She prefers we gain our profits honestly, by sin denying.",
,,,
E porên contar-vos quéro | miragre que ei oído,"Therefore, I wish to tell you a miracle which I heard",So I'll tell you all the story of a miracle created,
"desta razôn, que a Virgen | fez, Madre do Rei comprido,","on this theme, performed by the Virgin, Mother of the Perfect King","By the Virgin, Holy Mother of the Perfect King awaited,",
que por nos guardar d' inférno | foi na cruz mórt' e ferido.,who was wounded and killed on the cross to save us from Hell.,Who was wounded and who suffered on the Cross and sin negated.,
"E porên, se Déus vos valla, | amigos, ben m' ascoitade:","Therefore, my friends, if God will aid you, listen to me well.","So, my friends, if God will aid you, listen now with hearts complying.",
,,,
"Dous ómes dados jogavan | a gran perfía provada,",Two men were avidly playing dice.,"Once two men at dice were playing, far too keen for simple pleasure.",
"e un deles éra ric', o | outro non avía nada","One of them was rich, and the other had nothing",One was rich and lived in comfort; one had nothing he could treasure,
"senôn quant' ũa eigreja, | con que fazía passada,","except for a church, with which he made his living,","But a church, whose income fed him to a full but humble measure,",
que fora de séu linnage | e del ben come erdade.,which had been in his family and had been bequeathed to him.,Which had always been his family's and was willed him on their dying.,
,,,
"E macar que d' outros jógos | éran eles sabedores,","Although they knew other games,","Though the games they knew were many, to one game they were devoted.",
"entôn outro non jogavan, | senôn aquel que ‘maiores’",they never played anything but that game called mayores*.,"They played nothing but mayores: three dice rolled, the total's noted.",*Mayores: A game played with three dice in which the highest total wins.
"chaman; e o riqu' en lógo | de meter i fïadores,","The rich man, instead of putting up counters,","But instead of common counters, on this day the rich man loaded",
meteu i muitos dinneiros | por comprir sa voontade.,threw in many coins to make his bets.,"Up the pot with coins of value, earnest wagers thus implying.",
,,,
Mas o outro non avía | outra requeza sobeja,"However, the other man had no wealth",But the poor man had no money equalling his opposition;,
