Lyrics,Direct Translation,Poetic Translation
"De los álamos vengo, madre,",LINK,"I am come from the poplars, Mother,"
de ver cómo los menea el ayre.,http://www1.cpdl.org/wiki/index.php/De_los_%C3%A1lamos_(Juan_Vasquez),And I saw how in the wind they shudder.
,See translation at Choral Public Domain Library.,
"De los álamos de Sevilla,",,"From Seville with poplars so lovely,"
"de ver a mi linda amiga,",,"Where I went to see my honey,"
de ver cómo los menea el ayre.,,And I saw how in the wind they shudder.
,,
"De los álamos vengo, madre,",,"I am come from the poplars, Mother,"
de ver cómo los menea el ayre.,,And I saw how in the wind they shudder.
,,
Juan Vasquez,,Carol Anne Perry Lagemann
