Lyrics,Direct Translation,Poetic Translation
De plus en plus se renouvelle,LINK,"For more and more is the renewal,"
Ma douce dame gente et belle,http://www.lieder.net/lieder/get_text.html?TextId=90124,"My lady, sweet and noble jewel,"
Ma volonté de vous veir.,See David Wyatt's work at LiederNet Archive.,Of my desire to be with you.
Ce me fait le tres grant desir,,This makes me want to hear what's new
Que j'ay de vous ouir nouvelle.,,For you and yours and all you rule.
,,
Ne cuidiés pas que je recelle,,Do not believe I'd try to fool
Comme a tous jours vous estes celle,,You with my secrets for your rule
Que je vueil de tout obeir.,,Is the dominion I pursue.
,,
De plus en plus se renouvelle,,"For more and more is the renewal,"
Ma douce dame gente et belle,,"My lady, sweet and noble jewel,"
Ma volonté de vous veir.,,Of my desire to be with you.
,,
"Helas, se vous m'estes cruelle",,"Alas, if you to me are cruel,"
J'auroie au cuer angoisse telle,,The anguish in my heart will fuel
Que je voudroie bien morir,,Hunger for death I can't subdue.
Mais ce seroit sans desservir,,But I'd not die unless I knew
En soustenant vostre querelle.,,My death were for your goals a tool.
,,
De plus en plus se renouvelle,,"For more and more is the renewal,"
Ma douce dame gente et belle,,"My lady, sweet and noble jewel,"
Ma volonté de vous veir.,,Of my desire to be with you.
Ce me fait le tres grant desir,,This makes me want to hear what's new
Que j'ay de vous ouir nouvelle.,,For you and yours and all you rule.
,,
Gilles de Bins dit Binchois,,Carol Anne Perry Lagemann
