Lyrics,Direct Translation,Poetic Translation
"Dictes moy toutes vos pensees,","See Peter Woetmann Christoffersen's translation at ""The Copenhagen Chansonnier and the ‘Loire Valley’ Chansonniers"".",Tell me your every thought and feeling;
car j’ay desir de les savoir.,LINK: http://chansonniers.pwch.dk/CH/CH170.html,All of your dreams I want to know.
"Octroies moy ce bien avoir,",,All of yourself I beg you show:
affin qu’ellez soient exaulcees.,,I know I will find each thought appealing.
"Souvent les ay contre pensees,",,"Fearing the things that you’re concealing,"
c’est pour mieulx a mon cas pourvoir.,,Would it be best for me to go?
"Dictes moy toutes vos pensees,",,Tell me your every thought and feeling;
car j’ay desir de les savoir.,,All of your dreams I want to know.
"De loyaulte sont balancees,",,Is it your doubt you fear revealing?
est ce bien pour me decepvoir?,,Will you deceive or bring me low?
"Si vous faissies votre debvoir,",,Detailed accounts to me you owe
je fusse des plus avancees.,,So I can be sure and start healing.
"Dictes moy toutes vos pensees,",,Tell me your every thought and feeling;
car j’ay desir de les savoir.,,All of your dreams I want to know.
"Octroies moy ce bien avoir,",,All of yourself I beg you show:
affin qu’ellez soi ent exaulcees.,,I know I will find each thought appealing.
,,
Loyset Compère,,Carol Anne Perry Lagemann
