Lyrics,Direct Translation,Poetic Translation
"Dindirin danya, dindirindin.",LINK,"Dindirin danya, dindirin din."
,http://www1.cpdl.org/wiki/index.php/Dindirindin_(Anonymous),
"Je me levé un bel maitin,",See translation at Choral Public Domain Library.,"I arose one lovely day,"
Matineta per la prata;,,Went outside to meadows airy.
"encontré le ruyseñor,",,There I heard the nightingale
"que cantaba so la rama, dindirindin.",,"In the branches, sad and wary, dindirin din."
,,
"Dindirin danya, dindirindin.",,"Dindirin danya, dindirin din."
,,
"Encontré le ruyseñor,",,There I heard the nightingale
"que cantaba so la rama,",,"In the branches, sad and wary."
"""Ruyseñor, le ruyseñor,",,"Nightingale, oh, nightingale,"
"facteme aquesta embaxata, dindirin din.""",,"Here's a message you can carry, dindirin din."
,,
"Dindirin danya, dindirindin.",,"Dindirin danya, dindirin din."
,,
"""Ruyseñor, le ruyseñor,",,"Nightingale, oh, nightingale,"
"facteme aquesta embaxata,",,Here's a message you can carry:
Y digalo a mon ami:,,Fly away and tell my love
"que je ya só maritata, dindirindin.""",,"That I am already married, dindirin din."
,,
"Dindirin danya, dindirindin.",,"Dindirin danya, dindirin din."
,,
Anonymous,,Carol Anne Perry Lagemann
