Lyrics,Direct Translation,Poetic Translation
"Dulce solum natalis patrie,","Sweet, only country of my birth,","Sweetest homeland where once I used to play,"
"domus ioci, thalamus gratie,","merry home, graceful chambers,","House of laughter, the hall where graces stay,"
"vos relinquam aut cras aut hodie,",I will leave you tomorrow or today,I will leave you tomorrow or today;
periturus amoris rabie.,and perish in the madness of love.,In a frenzy of love I pass away.
Exul!,Exile!,Exile!
,,
"Vale tellus, valete socii,","Farewell world; farewell comrades,","World, goodbye now; farewell my comrades then,"
"quos benigno favore colui,","whom with kind favor I honor,",Whom I honor and count as worthy men.
et me dulcis consortem studii,and my sweet classmate,"Dearest classmate, so kind and sweet you've been;"
"deplangite, qui vobis perii!","I lament, whom I have lost!",I have lost you: we'll never meet again.
Igne!,Fire!,Burning!
,,
Igne novo Veneris saucia,"With new fire,ﾂVenusﾂwounded",With new fire has Venus made me sting.
"mens, que prius non novit talia,","my mind, which had not known of these things,",I have never before known such a thing.
nunc fatetur vera proverbia:,and now I admit the truth of the saying:,I confess now the words the ancients sing:
"ﾂｫubi amor, ibi miseria.ﾂｻ","・・Where there is love, there is misery.・・","""There where love is, is also suffering."""
Usque!,Until then!,Till then!
,,
"Quot sunt apes in Hyble vallibus,",How many are the bees inﾂHybla・・s valleys?,"Oh, how many in Hybla are the bees?"
quot vestitur Dodona frondibus,How many are the leafy trees inﾂDodona?,And how many in Dodona the trees?
"et quot natant pisces equoribus,",How many fish swim in the seas?,And how many the fish that swim the seas?
tot abundant amor doloribus.,That・・s how abundant is the pain of love.,That's the number of sorrows love decrees.
Gravis!,Heavy!,Heavy!
,,
"Heu dolor quam dira premia,",Alas! Such pain and dreadful reward;,"Blazing fires, alive with dreadful gain,"
"flamma calet amantes nimia,",The flame burns lovers too much.,"Burn too hotly with love I can't restrain,"
nova nutrit Venus suspiria,"Newly nourished by Venus, I sigh:",Build my sighing; to Venus I complain.
ungent eam quando dulcia.,When will this unguent be sweet?,Will this unguent not take away my pain?
Nimis!,Too much!,Too much!
,,
Anonymous,Carol Anne Perry Lagemann,Carol Anne Perry Lagemann
