Lyrics,Direct Translation,Poetic Translation
El grillo è buon cantore,LINK,"The cricket sings out surely,"
Che tiene longo verso.,http://www1.cpdl.org/wiki/index.php/El_Grillo_(Josquin_des_Prez),"And he can sing a long time,"
Dalle beve grillo canta.,See translation at the Choral Public Domain Library.,"Always, ever sweetly singing."
Ma non fa come gli altri uccelli,,He is not like the other birdies;
"Come li han cantato un poco,",,"After they've done a little singing,"
Van de fatto in altro loco,,On their way elsewhere they go winging.
"Sempre el grillo sta pur saldo,",,"He alone stays there, persevering,"
Quando la maggior el caldo,,"When the heat is fierce and searing,"
Alhor canta sol per amore.,,Then sings the cricket for love purely.
,,
Josquin des Prez,Anonymous,Carol Anne Perry Lagemann
