Lyrics,Direct Translation,Poetic Translation
Fa una canzona senza note nere,LINK,"Make me a song without a single black note,"
Se mai bramasti la mia grazia havere,http://www1.cpdl.org/wiki/index.php/Fa_una_canzona_(Orazio_Vecchi),And in delight I'll sing you an exact quote.
"Falla d'un tuonó ch'invita al dormire,",See translation at Choral Public Domain Library.,Give it a lilt that to slumber will send me;
Dolcemente facendo la finire.,,Sweet and gentle and quiet let the end be.
,,
Per entro non vi spargere durezze,,Don't make it harsh or similar abuse do:
Che le mie orecchie non vi sono avezze,,Discordant noise my ears cannot get used to.
"Falla d'un tuonó ch'invita al dormire,",,Give it a lilt that to slumber will send me;
Dolcemente facendo la finire.,,Sweet and gentle and quiet let the end be.
,,
Ne vi far cifra o segno contra segno,,Don't give it counterpoint or calculations:
Sopra ogni cosa quest'è'l mio disegno,,"More than all else, avoid these affectations."
"Falla d'un tuonó ch'invita al dormire,",,Give it a lilt that to slumber will send me;
Dolcemente facendo la finire.,,Sweet and gentle and quiet let the end be.
,,
Con questo stile il fortunato Orfeo,,This is the style that fortunate Orfeo
"Proserpina la giù placar poteo,",,Played in when Proserpina's heart he laid low.
"Falla d'un tuonó ch'invita al dormire,",,Give it a lilt that to slumber will send me;
Dolcemente facendo la finire.,,Sweet and gentle and quiet let the end be.
,,
Questo è lo stile che quetar già feo,,This is the style that comforts all who hear it
Con dolcezza à Saul lo spirto reo!,,And sweetly soothed King Saul's contentious spirit!
"Falla d'un tuonó ch'invita al dormire,",,Give it a lilt that to slumber will send me;
Dolcemente facendo la finire.,,Sweet and gentle and quiet let the end be.
,,
Orazio Vecchi,,Carol Anne Perry Lagemann
