Lyrics,Direct Translation,Poetic Translation
Festa januaria,The feasts of January,"Feasts of feasts, we keep anew"
"festiva sunt festorum, ","are the festivals of festivals,","The Feasts of January,"
vera figuralia,"true figures,","Signs of signs, and symbols true"
insignia signorum. ,excellent signs.,That endless meaning carry.
"Hec luminum oblatio, ",This offering of lights --,"They are an offering of light,"
hec est illuminatio ,"this is an enlightening,","A clear illumination bright,"
qua patet declaratio ,which is a clear declaration,"A declaration in the night,"
rataque rerum ratio.,established of reasoned matters.,A reason recognized as right.
,,
Anonymous,Carol Anne Perry Lagemann,Carol Anne Perry Lagemann
