Lyrics	Transliteration	Direct Translation	Poetic Translation
藤生野の　かたち	fujifuno no katachi	the field wisteria's form	Rope of the wild wisteria
かたちが原を	katachi ga hara o	the original form	In its own authentic form:
標めはやし　なよや	shime hayashi nayoya	"the sacred rope in the forest, delicate"	"Delicate, sacred forest rope,"
標めはやし　なよや	shime hayashi nayoya	"the sacred rope in the forest, delicate"	"Delicate, sacred forest rope."
			
標めはやし　いつき	shime hayashi itsuki	"the sacred rope in the forest, beloved tree"	"Dear blossom, sacred forest rope,"
いわひし著く	iwaishi shiruku	"Iwaishi, striking"	Striking and remarkable.
時にあへるかもや	toki ni aeru kamo ya	sometime we can meet maybe	Maybe I will meet you there someday;
時にあへるかもや	toki ni aeru kamo ya	sometime we can meet maybe	Maybe I will meet you there someday.
			
Anonymous	"Markham, Elizabeth. Saibara: Japanese Court Songs of the Heian Period. Vol. 2. Cambridge: Cambridge UP, 1983. Print. "	Carol Anne Perry Lagemann	Carol Anne Perry Lagemann
