Lyrics,Direct Translation,Poetic Translation
Como Santa Marﾃｭa guareceu a mollﾃｩr que chagara sﾃｩu marido porque a non podﾃｭa aver a sa guisa.,How Holy Mary cured the woman whose husband had struck her because he could not have his way with her.,
,,
"Gran pﾃｯadad' e mercee e nobreza,","Great compassion, mercy, and nobility --","Great compassion, nobility and mildness:"
"daquestas tres ﾃ｡ na Virgen assaz,","these three virtues has the Virgin in abundance,","These virtues always the Virgin has shown,"
"tan muit' ﾃｪn, que maldade nen crﾃｼeza",to such degree that She will not condone evil,"So that cruelty, wickedness and wildness,"
nen descousimento nunca lle praz.,nor cruelty nor abuse.,And vile abuse She will never condone.
,,
E desto fezo a Santa Reﾃｭnna,"Concerning this, the Holy Queen performed","By the way, the Holy Queen, Virgin Mary,"
"gran miragre que vos quﾃｩro contar,",a great miracle which I wish to tell to you.,Made a miracle I'm eager to tell.
u apareceu a ?a meninna,She appeared to a young girl,She appeared before a young and unwary
"en un ﾃｳrto u fora trebellar,",in an enclosed garden,Girl who'd gone to play outside for a spell
en cas de sﾃｩu padr' en ?a cortinna,of her father's house in the town of Arras,"In the walled-up garden, verdant and airy,"
que avﾃｭa ena vila d' Arraz.,where the child had gone to play.,In her father's house in Arras alone.
,,
Quando a viu ouv' entﾃｴn tan gran medo,"When the girl saw Holy Mary, she was so greatly frightened","When she saw the Virgin, she was so frightened"
"que adur pod' en sﾃｩus pﾃｩes estar,","that she could scarcely stand on her feet,","She could hardly even stand on her feet,"
mai-la Virgen se lle chegou mui quedo,but the Virgin approached her softly,But the Virgin stepped so soft that she brightened
"e disse: ""Non ﾃ｡s por que t' espantar;","and said: ""There is no cause to be alarmed;","When She said, ""From me fear nothing, my sweet,"
"mais se me crevﾃｩres, irﾃ｡s mui cedo","rather, if you believe me, you will go very soon",Just believe and you will soon be enlightened
u verﾃ｡s mﾃｩu Fill' e min faz a faz.,where you will see my Son and me face to face.,Where you'll met Me and My Son on His throne.
,,
Esto serﾃ｡ se ta virg?idade,"""This will happen if you keep your virginity","""This will happen if you stay as a maiden"
quisﾃｩres toda ta vida guardar,all your life,"All your life, without a trace of disgrace,"
"e te quitares de toda maldade,",and free yourself from all evil.,Never lewd or with iniquity laden.
"ca por aquesto te me vin mostrar.""","It is for this reason that I came to reveal myself to you.""","This is why I come to show you My face."""
"Diss' a moﾃｧa: ""Sennor de pﾃｯadade,","The girl said: ""Merciful Lady,","Said the girl, ""Oh Queen, whose Name I have prayed in,"
"ﾃｩu o farei, pois vos en prazer jaz.""","I shall do so, since it is your desire.""","I'll obey You, since Your wishes are known."""
,,
Entﾃｴn se foi lﾃｳg' a Virgen Marﾃｭa;,"Then the Virgin Mary departed,","Then the gracious Virgin Mary departed,"
e a meninna ficou no lugar,and the girl remained in the place,"And the girl remained with plans in her head,"
"mui pagada e con grand' alegrﾃｭa,",very pleased and happy,"Pleased and happy, full of joy, and light-hearted,"
e no coraﾃｧﾃｴn pos de non casar.,and swore in her heart never to marry.,And inside her heart swore never to wed.
Mais sﾃｩu padre lle diss' assﾃｭ un dﾃｭa:,"However, one day her father said to her:",But her father all her future had charted.
"Casar-te quﾃｩro con un Alvernaz,","""I wish to marry you to a certain gentleman from Auvergne,",He a marriage would no longer postpone.
,,
ﾃ・me que ﾃｩ mui riqu' e muit' onrrado,"""who is very rich and respected","・・To a rich Auvergne man you・・ll be connected,・・"
e que te quﾃｩr lﾃｳgo grand' algo dar.,"and who wishes to bestow wealth on you.""",Said her father. ・・Very wealthy you・・ll be.
"Diss' a moﾃｧa: ""Esto non ﾃｩ penssado,","The girl replied: ""This is out of the question,","He, my dear, is very rich and respected.・・"
