Lyrics,Direct Translation,Poetic Translation
"I syng of a mayden şat is makeles,",LINK,I sing of a maiden who mateless goes;
Kyng of alle kynges to here sone che ches.,http://www.lieder.net/lieder/get_text.html?TextId=93676,The King of all Kings for his mother her chose.
,See Mike Pearson's work at LiederNet Archive.,
He came also stylle şer his moder was,,"He came all so still where his mother passed,"
"As dew in aprylle, şat fallyt on şe gras.",,As dew that in April falls down on the grass.
,,
He cam also stylle to his moderes bowr,,"He came all so still to his mother's bower,"
"As dew in aprille, şat fallyt on şe flour.",,As dew that in April falls down on the flower.
,,
He cam also stylle şer his moder lay,,"He came all so still where his mother lay,"
"As dew in Aprille, şat fallyt on şe spray.",,As dew that in April falls down on the spray.
,,
Moder & mayden was neuer non but che --,,For mother and maiden was none but she;
Wel may swych a lady Godes moder be.,,Well may such a lady our God's mother be.
,,
Anonymous,,Carol Anne Perry Lagemann
