Lyrics,Direct Translation,Poetic Translation
"Ik zeg adieu, wij twee wij moeten scheiden,",LINK,I say adieu; we two must now be parted;
"Tot op een nieuw, zo wil ik troost verbeiden.",http://www1.cpdl.org/wiki/index.php/Ik_zeg_adieu,"Until we meet, I'll wait here, empty-hearted."
"Ik laat bij u dat herte mijn,",See translation at Choral Public Domain Library.,"My heart your heart will now contain,"
"Want waar gij zijt, daar zal ik zijn.",,"For where you are, there I remain."
"'t Zij vreugd of pijn,",,"In joy or pain,"
Altoos wil ik u vrij eigen zijn.,,Your vassal ever I remain.
,,
"Ik dank u, lief, rein minlijk lief geprezen,",,"I thank you, love, adorable, appealing,"
"Voor alle grief, zo wil mij toch genezen",,"For all this pain, so give me also healing."
"Benijders fel met haar venijn,",,Those souls who smart with jealousy
Zij hebben belet ons blijde aanschijn.,,Have stolen our felicity.
"Op dit termijn,",,"But trust in me,"
Altoos wil ik u eigen zijn.,,For only yours I'll ever be.
,,
"Adieu, schoon stad, adieu prieel vol vreugden,",,"Farewell, fair town, alive and blossom-scented,"
"Rein maagd'lijk vat, daar wij ons saam verheugden.",,"Where love was pure, where we were so contented."
"Gedenk den troost die gij mij bood,",,Your comfort eased each aching cry;
Gij zijt mijn lief die ik nooit en vlood.,,I've never left; I'll stay nearby.
"Ik zeg 't u bloot,",,I'll tell you why:
U eigen blijf ik tot den dood.,,Because I'm yours until I die.
,,
Jacobus Clemens non Papa,,Carol Anne Perry Lagemann
