Lyrics,Direct Translation,Poetic Translation
"Il bianco e dolce cigno cantando more,",LINK,"The white and dulcet swan falls, and, singing, passes,"
Ed io piangendo,http://www1.cpdl.org/wiki/index.php/Il_bianco_e_dolce_cigno,"And I, with weeping,"
Giung' al fin del viver mio.,See translation at Choral Public Domain Library.,Reach also my final ending.
"Stran' e diversa sorte,",,"What strange, contrasting fortune:"
Ch'ei more sconsolato,,"He dies in desperation,"
Ed io moro beato.,,"But death brings me elation,"
Morte che nel morire,,For in this death I'm learning
M'empie di gioia tutto e di desire.,,The bliss of being filled with joy and yearning.
"Se nel morir, altro dolor non sento,",,"If dying holds no harsher pain nor rougher,"
Di mille mort' il di sarei contento.,,A thousand deaths a day I'll gladly suffer.
,,
Jacques Arcadelt,,Carol Anne Perry Lagemann
