"Lyrics	Direct Translation	Poetic Translation",,,,
"Il est bel et bon, comm?re, mon mari.	LINK	""Very fair and fine", I tell you," is my man.""",,
"	http://www0.cpdl.org/wiki/index.php/Il_est_bel_et_bon_(Pierre_Passereau)	",,,,
"Il estoit deux femmes toutes d'ung pays.	See translation at Choral Public Domain Library:	""In the town", two wives to chew the fat began,"
Disanst l'une ? l'aultre - """"Avez bon mary?""""""		""Saying to each other", ・gIs he good," your man?・h"""
"		",,,,
"Il ne me courrousse, ne me bat aussy.		""He would never scold me"," never raise his hand.""",,,
"Il faict le mesnaige,		But he does the housework",,,,
"Il donne aux poulailles,		And he feeds the chickens",,,,
"Et je prens mes plaisirs.		While I do what I want.",,,,
"		",,,,
"Comm?re, c'est pour rire		""I tell you"," it・fs a riot""",,,
"Quand les poulailles crient:		To hear the chickens clucking:",,,,
"Co co dac co co dac,		""Co co dac co co dac","
Petite coquette"," qu'esse-cy?""		""You cute little vixen"," what・fs your plan?""",
"		",,,,
"Pierre Passereau		Carol Anne Perry Lagemann",,,,
