Lyrics,Direct Translation,Poetic Translation
"Il s'en va tard, il pleut, il vente,",LINK,"It's late, the wind is strong, it's raining,"
"Et n'est pas trop sûr le chemin,",http://www1.cpdl.org/wiki/index.php/Il_s%27en_va_tard_(Cl%C3%A9ment_Janequin),"And there are dangers on the way,"
Mais Amour si fort me tourmente,See translation at Choral Public Domain Library.,"But fiercely Love in me is straining,"
Que ne puis attendre à demain.,,And I cannot wait one more day.
"Le ciel fût-il tant inhumain,",,The weather perversely turned gray
"Étant contraire à ma requête,",,Just as I bid it whisper gently.
"Qu'il plût cailloux, foudre ou tempête,",,Let hail and lightning rage intently:
Puisqu'il faut aller voir madame.,,I go to her whom I admire.
"Ni pluie ni vent ne m'arrête,",,No rain and no wind will prevent me;
Trop plus violente est ma flamme.,,More fierce and savage is my fire.
,,
Clément Janequin,,Carol Anne Perry Lagemann
