Lyrics,Direct Translation,Poetic Translation
In Rama sonat gemitus,LINK,"In Rama you can hear her cries,"
plorante Rachel Anglie:,http://www1.cpdl.org/wiki/index.php/In_Rama_sonat_gemitus_(Anonymous),For England's Rachel weeps today.
Herodis namque genitus,See Mick Swithinbank's work at Choral Public Domain Library.,A certain son of Herod tries
dat ipsam ignominie.,,To steal her dearest child away.
En eius primogenitus,,"Her firstborn, her beloved prize,"
et Joseph Cantuarie,,"From Canterbury must obey,"
Exulat fisto venditus,,"Like Joseph, bonds in exile's guise:"
Egiptum colit Gallie.,,In France's Egypt he must stay.
,,
Anonymous,,Carol Anne Perry Lagemann
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
