Lyrics,Direct Translation,Poetic Translation
Insbruck ich muÁE dich lassen,LINK,"Innsbruck, I have to leave you;"
ich far dahin mein strassen,"http://www1.cpdl.org/wiki/index.php/Innsbruck,_ich_muss_dich_lassen_(Heinrich_Isaac)",On foreign roads I'll grive you;
in frembde landt dahin,See translation at Choral Public Domain Library.,I travel far away.
mein freud ist mir genomen,,My joy has me forsaken;
die ich nit weiÁE bekommen,,How can it be retaken
wo ich im elend bin.,,Where I in sorrow stay?
,,
GroÁE leid muÁE ich yetz tragen,,"Beneath my pain, I stumble,"
das ich allein thu klagen,,And yet I dare not grumble
"dem liebsten bulen mein,",,"Except to you, my dear."
ach lieb nun laÁE mich Armen,,"O love, your arms around me,"
im hertzen dein erbarmen,,"With sympathy surround me,"
das ich von dann muÁE sein!,,For I must leave you here.
,,
Meyn trost ob allen weyben,,"My comfort and my treasure,"
dein thu ich ewig pleyben,,"I will be yours forever,"
stet trew der eren frumm,,"In honor, always true."
nun muÁE dich Gott bewaren,,May God above defend you
in aller thugent sparen,,And in all virtue tend you
biÁE das ich wider kumm!,,Till I come home to you.
,,
Heinrich Isaac,,Carol Anne Perry Lagemann
