Lyrics,Direct Translation,Poetic Translation
"Italia mia, bench? 'l parlar sia indarno",LINK,"Italy, my home, though words no healing charm know"
a le piaghe mortali,http://people.virginia.edu/~jdk3t/petrarchkline.htm,To cure as you lie dying
"che nel bel corpo tuo s? spesse veggio,",See Anthony S. Kline's work at the University of Virginia.,"From wounds that mar your flesh, your beauty plunder;"
piacemi almen che i miei sospir' sien quali,,I pray some hope they gather from my sighing:
"spera 'l Tevero e l'Arno,",,"The Tiber and the Arno,"
"e 'l Po, dove doglioso e grave hor seggio.",,"The Po, that sees my heart is torn asunder."
"Rector del cielo, io cheggio",,"My King above, I wonder"
che la piet? che Ti condusse in terra,,"If sympathy, which You to Earth once brought here,"
Ti volga al Tuo dilecto almo paese.,,Will touch the land that Your soul delighted.
"Vedi, Signor cortese,",,"See, gracious Lord true-sighted,"
di che lievi cagion' che crudel guerra;,,"The cruel wars for empty causes fought here,"
"e i cor', che indura et serra",,"Hearts closed and hardened, taught here"
"Marte superbo et fero,",,"By Mars, the proud and vicious;"
"apri Tu, Padre, e 'ntenerisci et snoda;",,"Let them be opened, softened, and awoken:"
"ivi fa che 'l Tuo vero,",,"And for myself, my wish is"
"qual io mi sia, per la mia lingua s' oda.",,That always by my tongue Your Truth be spoken.
,,
Francesco Petrarca,,Carol Anne Perry Lagemann
