Lyrics,Direct Translation,Poetic Translation
"Iayme le cueur de ma mye,",LINK,I love her heart and will ever;
Sa bonte et sa doulceur.,http://www2.cpdl.org/wiki/index.php/J%27aime_le_cueur_(Claudin_de_Sermisy),"She is gentle and sincere,"
Ie layme sans infamie,See translation at Choral Public Domain Library.,"A friend in every endeavor,"
Et comme'ung frère sa seur.,,Like a sister I hold dear.
Amistye,,"However,"
Desmesuree ,,So much devotion
Nest iamais,,Is never
Bien assure,,A sure emotion.
Et mest le cueur en torment.,,"Truly, I wish it could be"
Ie veulx aymer aultrement.,,That I loved her differently.
,,
Claudin de Sermisy,,Carol Anne Perry Lagemann
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
