Lyrics,Direct Translation,Poetic Translation
Je ne mange point de porc.,LINK,I do not eat pork at all.
Le porc a condition,http://www2.cpdl.org/wiki/index.php/Je_ne_menge_point_de_porc_(Claudin_de_Sermisy),Of the pig I'll speak some words:
"Telle que je vous vois dire,",See translation at Choral Public Domain Library.,He does things that make me prickle.
"S'il a mangé cent étrons,",,He could eat a hundred turds;
Il ne s'en fera que rire.,,All he does is slurp and giggle.
"Il les tourne, il les vire,",,"First he flips them, makes them jiggle,"
Il leur rit et puis les mord.,,"Laughs and chomps them, great and small."
Je ne mange point de porc.,,I do not eat pork at all.
,,
Le porc s'en allait jouant,,"Once the pig, when boredom stirred,"
Tout au long d'une rivière.,,"Went to play along the river,"
Il vit un étron flottant.,,Where he saw a floating turd.
"Il lui prit à faire chère,",,"Grabbing what the waves delivered,"
Disant en cette manière:,,"He said with a greedy quiver,"
"""Etron flottant en rivière,",,"""Turd that's floating in the river,"
"Rend toi ou tu es mort.""",,"Now surrender or fall!"""
Je ne mange point de porc.,,I do not eat pork at all.
,,
Claudin de Sermisy,,Carol Anne Perry Lagemann
