Lyrics,Direct Translation,Poetic Translation
"Las, je sçay bien que je feis grande offence",LINK,"How truly great my sin was, I am now sure,"
"Quand je voulus contre amour tenir fort,","http://www2.cpdl.org/wiki/index.php/Las,_je_s%C3%A7ay_bien_(Jacques_Arcadelt)",In trying to contend with Love so long.
"Il m'en prend mal, aussi avois je tort",See Mick Swithinbank's work at Choral Public Domain Library.,"He serves me ill, but I was also wrong"
De vouloir faire à ung dieu résistance,,For wanting to resist a god whose power
"Duquel chascun redoubte la puissance,",,Makes every creature in the world to cower.
Tant fist d'effort qu'il print d'assault mon cueur,,"He took my heart by storm with labored bouts,"
Et meist le feu dedans à grand oultrance,,"Invaded to destroy as flames devour,"
"En lieu conquis, ainsi fait le vainqueur.",,As does a king lay waste the land he routs.
,,
Jacques Arcadelt,,Carol Anne Perry Lagemann
