Lyrics,Direct Translation,Poetic Translation
"Lo mio padre e la mia madre,",My father and mother,"Oh, my father and my dear mother,"
"La fa la la diridella,","La fa la la diridella,","La fa la la diridella,"
"La fa la la diridà,","La fa la la diridà,","La fa la la dirida,"
"Non hann' altra figlia che me,","Have no daughter other than me,","Have no daughter except for me,"
Rundella,Repeating,"Repeating,"
"La fa la la diridella,","La fa la la diridella,","La fa la la diridella,"
"La fa la la diridà,","La fa la la diridà,","La fa la la dirida,"
Non hann' altra figlia che me.,Have no daughter other than me.,Have no daughter except for me.
,,
Anonymous,Carol Anne Perry Lagemann,Carol Anne Perry Lagemann
