Lyrics,Direct Translation,Poetic Translation
Ma fin est mon commencement,LINK,"My end is my beginning part,"
Et mon commencement ma fin,http://www2.cpdl.org/wiki/index.php/Ma_fin_est_mon_commencement_(Guillaume_de_Machaut),And my beginning is my end.
Est teneure vraiement,See translation at Choral Public Domain Library.,And throughout it holds true at heart.
Ma fin est mon commencement.,,My end is my beginning part.
Mes tiers chans trois fois seulement,,My third part three times has its start;
Se retrograde et einsi fin.,,It's retrograde until its end.
Ma fin est mon commencement,,"My end is my beginning part,"
Et mon commencement ma fin.,,And my beginning is my end.
,,
Guillaume de Machaut,,Carol Anne Perry Lagemann
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
