Lyrics,Direct Translation,Poetic Translation
"Matona, mia cara,",LINK,"My lady, pretty madam,"
"Mi follere canzon, ","http://www2.cpdl.org/wiki/index.php/Matona,_mia_cara_(Orlando_di_Lasso)",A song I am apply
"Cantar sotto finestra,",See translation at Choral Public Domain Library.,To sing beneath your window.
Lantze bon compagnon. ,,I am a funny guy!
"Don don don,",,"Fa la lai,"
Diri diri don don don don.,,Fa la la la la la la lai.
,,
"Ti prego m'ascoltare,",,"You please to listen at me,"
"Che mi cantar de bon,",,I sing it good and high.
"E mi ti foller bene,",,I love on you so good as
Come greco e capon.,,Greecemen love chicken pie.
"Don don don,",,"Fa la lai,"
Diri diri don don don don.,,Fa la la la la la la lai.
,,
"Comandar alle cacce,",,I go myself for huntings.
"Cacciar con le falcon,",,I give my falcon fly.
"Mi ti portar becacce,",,"I bring you back a woodcock,"
Grasse come rognon.,,"Greasy, fat as my thigh."
"Don don don,",,"Fa la lai,"
Diri diri don don don don.,,Fa la la la la la la lai.
,,
"Se mi non saper dire,",,"I do not pretty sayings,"
"Tante belle razon,",,Even if I would try.
"Petrarcha mi non saper,",,The fancy shits like Petrarch
Ne fonte d'Helicon.,,And legends know not I.
"Don don don,",,"Fa la lai,"
Diri diri don don don don.,,Fa la la la la la la lai.
,,
"Se ti mi foller bene,",,"If you would love me good now,"
"Mi non esser poltron,",,I give you satisfy.
Mi ficcar tutta notte,,I fuck you like stallion
"Urtar come monton,",,All night until you cry.
"Don don don,",,"Fa la lai,"
Diri diri don don don don.,,Fa la la la la la la lai.
,,
Orlando di Lasso,,Carol Anne Perry Lagemann
