Lyrics,Direct Translation,Poetic Translation
Mille regretz de vous abandonner,LINK,I still regret a thousand times my flight;
"Et d'eslonger vostre fache amoureuse,",http://www2.cpdl.org/wiki/index.php/Mille_regrets_(Josquin_des_Prez),I left behind your loving disposition.
"Jay si grand dueil et paine douloureuse,",See translation at the Choral Public Domain Library.,"Great is my grief and sorrowful contrition,"
Quon me verra brief mes jours definer.,,And soon my days will fade into the night.
,,
Josquin des Prez,,Carol Anne Perry Lagemann
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
