Lyrics,Transliteration,Direct Translation,Poetic Translation
美作や　久米の,mimasaka ya kume no,Mimasaka and Kume's,"Mimasaka and Kume through,"
久米の佐良山,kume no sarayama,Kume's Mount Sara,"And on Kume's Mount Sara,"
さらさらに　なよや,sara sara ni nayoya,in murmurs nayoya,"Murmuring, murmur nayoya,"
さらさらに　なよや,sara sara ni nayoya,in murmurs nayoya,"Murmuring, murmur nayoya."
,,,
さらさらに　我が名,sara sara ni waga na,in murmurs our name,"Murmuring, murmured is our name,"
我が名は立てじ,waga na wa tateji,our name stands,For our name will stand upright
万代までにや,yorozuyo made ni ya,for ten thousand generations,"Ten thousand generations long,"
万代までにや,yorozuyo made ni ya,for ten thousand generations,Ten thousand generations long.
,,,
Anonymous,"Markham, Elizabeth. Saibara: Japanese Court Songs of the Heian Period. Vol. 2. Cambridge: Cambridge UP, 1983. Print. ",Carol Anne Perry Lagemann,Carol Anne Perry Lagemann
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
