Lyrics,Direct Translation,Poetic Translation
"Mon cœur se recommande à vous,",LINK,"My heart I leave you hopelessly,"
Tout plein d'ennui et de martyre;,http://www2.cpdl.org/wiki/index.php/Mon_c%C5%93ur_se_recommande_%C3%A0_vous,With hate for life upon it weighing;
Au moins en dépit des jaloux,See translation at the Choral Public Domain Library.,"At least, in spite of jealousy,"
Faites qu'adieu vous puisse dire!,,To hear you say goodbye I'm praying.
Ma bouche qui vous souloit sourire,,"My mouth that laughed once, smiling, playing,"
Et conter propos gracieux,,"That used to speak so wittily,"
Ne fait maintenant que maudire,,"Now foul is, curses on them laying"
Ceux qui m'ont banni de vos yeux.,,Who from your eyes have banished me.
,,
Clément Marot,,Carol Anne Perry Lagemann
