Lyrics,Direct Translation,Poetic Translation
Noﾃｫl nouvelet! Noﾃｫl chantons icy;,Christmas news! We sing Christmas here;,Christmas news today: Of Christmas sing we here!
"Dﾃｩvotes gens, rendons ﾃ Dieu merci;","Faithful people, let us thank God;","Give your thanks to God, good people far and near."
Chantons Noﾃｫl pour le Roi nouvelet:,Sing of Christmas for the new King:,"To the new king, we Christmas songs convey."
Noﾃｫl nouvelet!,Christmas news!,Christmas news today:
Noﾃｫl chantons icy!,We sing Christmas here!,Of Christmas sing we here!
,,
"Quan m'esveilly et j'eus assez dormay,","When I woke up and had enough sleep,","When I woke up from a slumber dull and drear,"
"Ouvris mes yeux, vis un arbre fleury,","I opened my eyes and saw a flowering tree,",There a tree in bloom before me did appear.
Don・E・Et il issait un bouton vermeillet.,Upon which grew a red blossom.,Red was the bud I saw the tree display.
Noﾃｫl nouvelet!,Christmas news!,Christmas news today:
Noﾃｫl chantons icy!,We sing Christmas here!,Of Christmas sing we here!
,,
"Quand je le vis, mon coeur fut rejouy","When I saw it, my heart rejoiced,","When I saw the flower, my heart was filled with cheer,"
"Car grande clartﾃｩ resplendissait de luy,","Because a great light shone from it,","For the blossom shone with radiance great and clear,"
Comme le soleil qui luit au matinet.,"Like the sun, which shines in the morning.",Like at the dawn the sun's first morning ray.
Noﾃｫl nouvelet!,Christmas news!,Christmas news today:
Noﾃｫl chantons icy!,We sing Christmas here!,Of Christmas sing we here!
,,
"D'un oysillon aprﾃｨs le chant j'ouy,","I saw a little bird, who after his song","One small bird stopped singing, speaking in the ear"
"Qui aux pasteurs disait: ""Partez d'ici!","To the shepherds said: ""Get out of here!","Of the nearby shepherds, ""Leave and go from here"
"En Bethlﾃｩem trouverez l'Agnelet!""","Find the little Lamb in Bethlehem!""","To Bethlehem, praise to the Lamb to pay."""
Noﾃｫl nouvelet!,Christmas news!,Christmas news today:
Noﾃｫl chantons icy!,We sing Christmas here!,Of Christmas sing we here!
,,
"En Bethlﾃｩem, Marie et Joseph vy,","In Bethlehem, I saw Mary and Joseph,",Mary mild and Joseph in a barn austere
"L'asne et le boeuf, l'Enfant couchﾃｩ parmy;","The ass and the ox, and the Baby lying between them;","Were in Bethlehem, the ox and donkey near;"
La crﾃｨche ﾃｩtait au lieu d'un bercelet.,There was a manger instead of a little cradle.,"Without a cradle, Jesus lay in hay."
Noﾃｫl nouvelet!,Christmas news!,Christmas news today:
Noﾃｫl chantons icy!,We sing Christmas here!,Of Christmas sing we here!
,,
"L'estoile vint qui le jour esclaircy,","The star came, which lit up the day,","Brightening the day, a star did then appear,"
Et la vy bien d'oﾃｹ j'estois dﾃｩparty,"And I saw it well from where I was leaving,",And I saw it move across the hemisphere.
En Bethlﾃｩem les trois roys conduisaient.,Conducting the Three Kings to Bethlehem.,To Bethlehem it showed the Kings the way.
Noﾃｫl nouvelet!,Christmas news!,Christmas news today:
Noﾃｫl chantons icy!,We sing Christmas here!,Of Christmas sing we here!
,,
"L'un portait l'or, et l'autre myrrhe aussi,","One carried gold, another carried myrrh,","Gold and myrrh they carried, Jesus to revere;"
"Et l'autre encens, que faisait bon senty:","And another incense, which smelled lovely:","Also incense, scenting all the atmosphere,"
Le paradis semblait le jardinet.,The little garden seemed like Paradise.,Making it smell like I think Heaven may.
Noﾃｫl nouvelet!,Christmas news!,Christmas news today:
Noﾃｫl chantons icy!,We sing Christmas here!,Of Christmas sing we here!
,,
Quarante jours la nourrice attendy;,Forty days a nurse waited on him;,Forty days the nursemaid did the baby rear.
Entre les bras de Simﾃｩon rendy,Into the arms of Simeon were placed,"Then to Simeon, who'd waited many a year,"
Deux tourterelles dedans un panneret.,Two turtledoves in a pair.,They took the baby and two doves to pray.
Noﾃｫl nouvelet!,Christmas news!,Christmas news today:
Noﾃｫl chantons icy!,We sing Christmas here!,Of Christmas sing we here!
,,
"Quand Simﾃｩon le vit, fit un haut cry:","When Simeon saw him, he cried out:","When he saw the baby, Simeon with a tear"
"""Voici mon Dieu, mon Sauveur, Jﾃｩsus-Christ!","""This is my God, my Savior, Jesus Christ!","Cried out, ""Oh my God, here is my Savior dear,"
"Voicy celui qui joie au peuple met!""","This is he who brings joy to the people!""","Now he has come to show us all the way!"""
Noﾃｫl nouvelet!,Christmas news!,Christmas news today:
Noﾃｫl chantons icy!,We sing Christmas here!,Of Christmas sing we here!
,,
"Un prestre vint, don・E・Et je fus esbahy","A priest came, which amazed me,","As I stood amazed, a voice came loud and clear:"
"Que les paroles hautement entendy,","Who heard the words of a voice on high,","""Write down in this book all that you see and hear."""
Puis les mussa dans un petit levret.,"""Put these hidden things into a little book.""",These words the voice unto a priest did say.
Noﾃｫl nouvelet!,Christmas news!,Christmas news today:
Noﾃｫl chantons icy!,We sing Christmas here!,Of Christmas sing we here!
,,
"Et puis me dit: ""Frﾃｨre, crois-tu cecy?","He said to me, ""Brother, do you believe this?","Then the priest said, ""Brother, is your heart sincere?"
Si tu y crois aux cieux sera ravy:,"If you believe, you will have joy in Heaven:","If you will believe, in Heaven you'll find cheer."
"Si tun n'y crois, va d'enfer au gibet!","If you do not believe, you'll go from Hell to the gibbet!""","If you do not, you'll on Hell's gallows sway."""
Noﾃｫl nouvelet!,Christmas news!,Christmas news today:
Noﾃｫl chantons icy!,We sing Christmas here!,Of Christmas sing we here!
,,
Et l'autre jour je songeais en mon lict,And the other day I was thinking in my bed,"Came a little Baby to this earthly sphere,"
Que je voyais ung Enfant si petit,That I saw a little Baby,"And his name was Jesus, whom we all revere."
Qui appelait Jﾃｩsus de Nazareth.,Who is called Jesus of Nazareth.,All this I saw as in my bed I lay.
Noﾃｫl nouvelet!,Christmas news!,Christmas news today:
Noﾃｫl chantons icy!,We sing Christmas here!,Of Christmas sing we here!
,,
En trente jours fut Noﾃｫl accomply;,"In thirty days, Christmas is over;","Christmastime holds sway for one month of the year,"
"Par douze vers sera mon chant finy,","In twelve verses, my song is finished;",And twelve Christmas verses bring this song's end near.
Par chaque jour j'en ai fait un couplet.,"For each day, I have made a couplet.",Twelve days of Christmas: Twelve verses has my lay.
Noﾃｫl nouvelet!,Christmas news!,Christmas news today:
Noﾃｫl chantons icy!,We sing Christmas here!,Of Christmas sing we here!
,,
Anonymous,Carol Anne Perry Lagemann,Carol Anne Perry Lagemann
