Lyrics,Direct Translation,Poetic Translation
No m'agrad' iverns ni pascors,LINK,"Spring and winter both I detest,"
"Ni clars temps ni fuoills de garrics,",http://trobar.org/troubadours/raimbaut_de_vaqueiras/raimbaut_de_vaqueiras_22.php,"Sunny sky, and yellow-leafed tree."
Car mos enans mi par destrics,See Leonardo Malcovati's work at Trobar.org.,Progress is regression for me;
"E totz mos majer gaugz dolors,",,Things I joyed in make me depressed;
E son maltrag tuit miei lezer,,Torments always my pleasure cloud;
E desesperat miei esper;,,With despair is my hope endowed.
E si.m sol amors e dompneis,,"With love and courtship I once stayed,"
Tener gai plus que l'aiga.l peis!,,"A fish in water, gladly played."
E pois d'amor me sui partitz,,"But since I left Love, low I sank;"
"Cum hom issillatz e faiditz,",,Bitter wine of exile I drank:
Tot' autra vida.m sembla mortz,,"And life is death, and lies are true;"
E totz autre jois desconortz.,,"Joy is desolation now, too."
,,
Pois d'amor m'es faillida.il flors,,"Love's fair flower once I possessed,"
"E.l dolz fruitz e.l grans e l'espics,",,"Fruit and grain and ear, sweet all three."
Don gauzi' ab plazens prezics,,There was discourse joyous and free;
E pretz m'en sobrav' et honors,,"Honor, worth I found and expressed."
"E.n sabi' entre.ls pros caber,",,I was one of the brave and proud.
Era.m fai d'aut en bas cazer;,,"Now I've fallen; I'm meek and cowed,"
"E si no.m sembles fols esfreis,",,And with good reason I'm afraid
Anc flama plus tost non s'esteis,,That quick as flickered flame I'll fade
Q'ieu for' esteins e relinquitz,,And lie forgotten where I sank;
E perdutz en faitz et en digz,,Words and deeds in memory shrank
Lo jorn qe.m venc lo desconortz,,The day this loneliness sweept through.
"Que non merma, cum qe.m refortz.",,"It will stay, whatever I do."
,,
"Bels armatz e bos feridors,",,"Handsome knights and swordsmen obsessed,"
"Setges e calabres e pics,",,"Catapults, siege engines, debris,"
"E traucar murs nous et antics,",,"Broken walls, battalions that flee,"
E vensser bataillas e tors,,"Ramparts, towers smashed and suppressed:"
Vei et aug; e non puosc aver,,"These surround me, too bright, too loud;"
Ren qe.m puosc' ad amor valer!,,None can help prove the love I vowed!
E vauc cercan ab rics arneis,,In costly armor well arrayed
"Gerras e coitas e torneis,",,To war and tourney I parade;
Don sui conqueren enriquitz;,,"With prizes won my pockets clank,"
"E pois jois d'amor m'es failitz,",,"But with none to worship and thank,"
"Totz lo mons no.m parri' us ortz,",,The world's a cell without a view
Ni mos chans no m'es mais confortz.,,And my songs no pain can undo.
,,
"Doncs, qe.m val conquistz ni ricors?",,"What are conquests, welath, and the rest?"
Qu'eu ja.m tenia per plus rics,,I was richer when I could be
"Qand er' amatz e fis amics,",,"Friend and love to those who loved me,"
E.m paissi' ab n'Engles amors;,,When my high Engles loved me best;
N'amava mais un sol plazer,,"Then, one gesture made me more proud"
"Que sai gran terr' e gran aver,",,Than the riches I'm now allowed.
C'ades on plus mos poders creis,,"The more my power grows, unswayed,"
"Ai major ir' ab mi mezeis,",,The more resentment is inlaid:
Pois mos Bels Cavalliers grazitz,,My Fairest Knight of peerless rank
"E jois m'es loignatz e fugitz,",,Fled and left me joyless and blank.
"Don mais no.m naissera conortz,",,No comfort will my pain subdue:
