Lyrics,Transliteration,Direct Translation,Poetic Translation
西寺の,nishidera no,the West Temple's,The Western Temple's
老鼠,oi nezumi,aged rats,Older mice and rats
若鼠,waka nezumi,young rats,And young mice and rats:
御裳食むつ,omushō tsumutsu,eat the skirts,All together they feast upon
袈裟食むつ,kesa tsumutsu,the skirts of the Buddhist robes,"The robes of the monks,"
袈裟食むつ,kesa tsumutsu,the skirts of the Buddhist robes,The robes of the monks.
法師に申さむ,hōshi ni mōsamu,call the priests,Call the priests; call for the clerics;
師に申せ,shi ni mōse,call the teachers,To the teachers call;
法師に申さむ,hōshi ni mōsamu,call the priests,Call the priests; call for the clerics;
師に申せ,shi ni mōse,call the teachers,To the teachers call.
,,,
Anonymous,"Markham, Elizabeth. Saibara: Japanese Court Songs of the Heian Period. Vol. 2. Cambridge: Cambridge UP, 1983. Print. ",Carol Anne Perry Lagemann,Carol Anne Perry Lagemann
