Lyrics,Direct Translation,Poetic Translation
"Oimè el cuor, oimè la testa!","Alas, my heart; alas, my head!","Alas, my heart, alas my reason!"
Chi non ama non intenda.,Whoever does not love does not understand.,Loveless hearts can soon forget this.
,,
"Oimè Dio, che error fece io!","Alas, God, what a mistake I made!","Oh God, this great mistake, I've done it!"
Chi non falla non s'amenda.,Whoever does not sin needs not repent.,Sinless souls need not regret this.
,,
"Oimè Dio, che'l pentir mio!","Alas, God, how I regret it!","Oh God, I wish I'd not begun it,"
Ad amar un cor fallace.,"Having catered [or, given in] to a sinful heart.",My surrender to desire.
,,
"Dopo il fallo el pentir resta,","After sinning, it remains to repent,","Sin precedes a rueful season,"
Non mi da per questo pace.,for this reason I am given no peace.,So no peace can I acquire.
,,
"Oimè el cuor, oimè la testa!","Alas, my heart; alas, my head.","Alas, my heart, alas my reason!"
"Oimè, el foco aspro e vivace,","Alas, the fire, harsh and quick,","Alas, this quick and cruel fire"
Mi consuma el tristo core.,consumes my sad heart.,Burns to ash the heart I've laid here.
,,
"Chi non ama non intenda,","Whoever does not love does not understand,","Loveless hearts can soon forget this,"
"Chi non ama non intenda,",[…],Loveless hearts can soon forget this.
"Oimè Dio ch'el fatto errore,","Alas, God, what a mistake I have made,","Oh God, what a mistake I've made here,"
"L'alma afflicta, mi molesta.",my aggrieved spirit disturbs me.,Wounded by my spirit's treason.
,,
Marchetto Cara,"Stolba, K Marie, ed. The Development of Western Music: An Anthology. 3rd ed. Vol. I. Boston: McGraw-Hill, 1998. Print.",Carol Anne Perry Lagemann
