Lyrics,Direct Translation,Poetic Translation
Pois tals saber mi sortz eﾂｷm creis,LINK,Since skill in me so springs and grows
Que trobar sai ・・ et ieu o dic! ・・,http://trobar.org/troubadours/aurenga/aa38.php,"That I'm a poet (so I claim!),"
Mal estara si non pareis,See Leonardo Malcovati's work at Trobar.org.,Unless this verse my talent shows
Et er mi blasmat si m'en gic;,,"And I write well, I'll face the blame;"
Car so qu'om van'ab la lenga,,"For, if bragging words I utter,"
"Taing ben que en pes lo tenga,",,Thoughts of proof my mind encumber:
Car non pot aver pejor dec,,For baseless bragging all decry
Qui ditz so que no s'avenga.,,"As a shameful, clumsy blunder."
,,
Er ai gaug car sebram dels freis,,I love that now we part with snows
E remanon sol li abric;,,And leave the house for sport and game.
Li auzellet ・・ et es lor leis,,"The little birds, whose laws impose"
Qe negus de chantar noﾂｷis gic ・・,,"That all must sing or bear the blame,"
Us quecs s'alegr'en sa lenga,,All in their own language utter
Pel novel temps queﾂｷil sovenga;,,"Joy, for each is Springtime's lover,"
E dels arbres qu'eron tuit sec,,And trees that once were brown and dry
Lo foils pels branquils s'arenga.,,"Waken fuller, greener, lusher."
,,
E qui anc jorn d'amar si feis,,And who to love once freely chose
Non taing q'era s'en desrazic,,"Ought not uproot from out its frame,"
C'ab lo novel temps que s'espreis,,"Because, since Spring awoke and rose,"
Deu quecs aver son cor plus ric;,,His heart is now enriched with flame;
E qui non sap ab la lenga,,He who wonders how to utter
"Dir so queﾂｷil coven, aprenga",,"What he feels, let him discover"
Consi ab novel joi s'esplec:,,The way to win with spirits high:
C'aisi vol Pretz queﾂｷs captenga.,,Worth says joy behooves a lover.
,,
Estat ai fis amics adreis,,"I'm true and faithful, as she knows,"
"D'una queﾂｷm enganav'ab tric,",,"To her, a sly, deceitful dame,"
"E car anc s'amors mi destreis,",,But since my feelings me enclose
Tos temps n'aurai mon cor enic;,,"In bonds, I'm angry just the same;"
Qu'aras non voill qu'ab sa lenga,,I don't want to hear her utter
Auir lo digz queﾂｷm destrenga,,Words that bind and hold me under:
Per so qu'autre ab lieis s'abrec,,The prize for which I hunt and sigh
Et eu caz so q'aicel prenga.,,Has been captured by some other.
,,
Ab leis remangaﾂｷl malaveis,,But leave deceit and spite to those
Eﾂｷl engans et ab son amic;,,"Like her and him who me defame,"
Que tals joys m'a pres e m'azeis,,Since joy has sent such pleasant throes
Dont ja non creirai fals prezic:,,It will not lead to any shame:
Anz voill c'om mi tail la lenga,,I will die before I utter
S'ieu ja de leis crei lausenga,,"Slander, or such lies uncover;"
"Ni de s'amor mi desazec,",,Nor would I ever love deny
S'ieﾂｷn sabia perdr'Aurenga.,,Though Orange's loss I suffer.
,,
Ben taing qu'eu sia fis vas leis,,"My scruples faithfulness impose,"
Car anc mais tant en aut non cric.,,So high a place is now my aim.
"Que Nostre Seigner, el mezeis,",,"For even God, Who life bestows,"
Ab pauc de far non i faillic;,,"Well-nigh displeased with her became,"
C'apenas saup ab la lenga,,"For the Lord could barely utter,"
"Dir ""aital vuoill que devenga"";",,"""Let this form and fame become her"":"
Qu'a la beutat q'en leis assec,,He wants no other woman's eye
Non volc c'autra s'i espenga.,,Steeped in envy at this wonder.
,,
"Domna, noﾂｷus sai dir loncs plaideis,",,"No long petitions I compose,"
Mas far de mi podetz mendic,,But you can strip me bare and lame
O plus ric que anc no fon reis;,,Or make me king where fortune flows.
Del tot sui en vostre castic!,,"I'm in your power, mild and tame!"
Sol vos digatz ab la lenga,,"What you bid me, simply utter:"
Consi voletz queﾂｷm captenga;,,I your will would rediscover;
"Qu'eu ai cor qu'enasi estec,",,My heart I never could defy.
E que ja d'autra noﾂｷm fenga!,,May I never love another.
,,
"Domna, noﾂｷus quier ab la lenga",,"Lady, no requests I utter"
Mas qu'en baisan vos estrenga,,"But to hold you, gain your succor,"
"En tal luoc on ab vos m'azec,",,"And kiss you, and to be nearby,"
E que d'ams mos bratz vos senga.,,In my arms you to recover.
,,
"Levet, fai auzir ta lengua",,"Levet, own your voice, whose color"
En cuy beutatz se depenga;,,Must be pictured in the thunder;
C'aia tal vers selha qu'ieu dec,,"May this, her song, so finely fly,"
Per so que de miﾂｷl sovenga.,,"She remember me, her lover."
,,
Raimbaut d'Aurenga,,Carol Anne Perry Lagemann
