Lyrics,Direct Translation,Poetic Translation
Pour souhaitter ie ne demande mieulx ,LINK,In all my life I wish for nothing more
qu'avoir santé et vivre longuement,http://www2.cpdl.org/wiki/index.php/Pour_souhaitter_(Josquin_des_Prez),"Than for good health, long life, and joy's increase,"
tousiours ioieulx et des biens largement,See translation at Choral Public Domain Library.,"To live in cheer, with wealth enough for peace,"
et en la fin le royaulme des cieulx,,And in the end to enter Heaven's door.
,,
Josquin des Prez,,Carol Anne Perry Lagemann
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
