Lyrics,Direct Translation,Poetic Translation
"Psallite, unigenito",LINK,Sing with praise! Make your voices one.
"Christo Dei Filio,","http://www2.cpdl.org/wiki/index.php/Psallite,_unigenito_(Singt_und_klingt)_(Michael_Praetorius)","Sing to Christ, God's only Son."
"Redemptori Domino,",See translation at Choral Public Domain Library.,He our sinning has undone;
"Puerulo,",,Life new-begun
Iacenti in praesepio.,,"Among us, loftier than none."
,,
Ein kleines Kindelein,,A babe of tiny size
Liegt in dem Krippelein;,,Within the manger lies;
Alle liebe Engelein,,All the angels in the skies
"Dienen dem Kindelein,",,"Will serve Him, good and wise,"
"Und singen ihm fein,",,Singing when He cries.
,,
"Psallite, unigenito",,Sing with praise! Make your voices one.
"Christo Dei Filio,",,"Sing to Christ, God's only Son."
"Redemptori Domino,",,He our sinning has undone;
"Puerulo,",,Life new-begun
Iacenti in praesepio.,,"Among us, loftier than none."
,,
Michael Praetorius,,Carol Anne Perry Lagemann
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
