Lyrics	Direct Translation	Poetic Translation
"Como un meninno que cr?ava un abade en sa castra trag?a de comer ao meninno que ti?nna a omagen enos s?us bra?os, e disso-ll' a omagen que comer?a con ele mui cedo."	"How a little boy an abbot was rearing in his cloister took food to the Holy Child which the statue held in Her arms, and the Child told him that he and the abbot would eat with Him very soon."	
		
"Quen a omagen da Virgen | e de s?u Fillo onrrar,"	He who honors the Virgin and Her son	"When the blessing of the Virgin Or her noble Son we see,"
"deles ser? muit' onrrado | no s?u ben, que non ? par."	"will be honored by Them in Their blessing, which has no equal."	Nothing else on Earth is greater; Nothing else could ever be.
		
"E de tal raz?n com' esta | vos direi, se vos prougu?r,"	"On such a theme as this, I shall tell you a miracle, if you like,"	I will sing to you a story. It's a tale you'll want to hear
"miragre que fez a Virgen, | que sempre n?sso ben qu?r,"	"which the Virgin performed, She who always seeks our well-being"	"Of a miracle by Mary, She who always holds us dear,"
"per que ajamos o reino | de s?u Fill', ond' a moll?r"	"so that we may gain the kingdom of Her Son, whence the first woman"	Whether it's because she loves us Or because she hopes to steer
"primeira nos deitou f?ra, | que foi malament' errar"	caused us to be expelled because she greatly erred	All our paths from sin and sorrow And to make us wholly free.
		
"En comer ?a ma??a, | que ante lle defendeu"	by eating an apple which God forbade her to eat	"We could never enter Heaven, For our paths were blocked by Eve,"
"D?us que per ren non comesse, | e porque dela comeu"	under any circumstances. Because she ate of it	"For she ate the outlawed apple And made Adam, too, receive"
"e fez comer s?u marido | Ad?n, l?go lles tolleu"	"and made her husband Adam eat, He took"	Punishment for having eaten. God our Lord was surely grieved.
o reino do Para?so | e foi-os end' eixerdar.	the kingdom of Paradise away from them and disinherited them from it.	He was angry and He told them Paradise they'd never see.
		
"Mas depois Santa Mar?a, | en que ? bondad' e sen,"	"however, then Holy Mary, in whom goodness and wisdom lie,"	"But our rescue comes from Mary, in Whom wisdom's deep and broad,"
buscou e busca carreiras | com' ajamos aquel ben	sought and seeks ways so that we may have that goodwill	"She who sought and seeks for ways that we may have goodwill from God,"
