Lyrics,Direct Translation,Poetic Translation
"Se gli è vero, Himeneo,",LINK,"If it's true, Hymenaios,"
Che l’alm’e i cori,http://www2.cpdl.org/wiki/index.php/S%27egli_%C3%A8_vero_(Orazio_Vecchi),That in perfection
Di sald’amori,See Luigi Cataldi's work at Choral Public Domain Library.,Hearts with affection
Legh’ agli amanti,,You tie completely
Con nodi santi,,"And bind them sweetly,"
Hor stringi Aminta ,,Bind our Aminta
E Clori così forte,,"And Cloris, that untying"
"Che non si sciolgan mai, ",,Can never be their fate
Se non per morte.,,Except in dying.
,,
E s’annodi gli amanti,,If you bind them with passion
A tutt’e l’hore,,"Never subsiding,"
D’eterno amore,,"Love that's abiding,"
Con pace unita,,"Peace that's united,"
In Cielo ordita,,"Heaven-invited,"
Hor fa se giusto ,,"Now, if you're gracious"
E se benigno sei,,"And favor their endeavor,"
Ch’eterni sien gli amori,,Then may their wedded love
E gl’Himenei.,,Endure forever.
,,
Orazio Vecchi,,Carol Anne Perry Lagemann
