Lyrics,Direct Translation,Poetic Translation
"Sicut cervus desiderat ad fontes aquarum,",LINK,"As the deer thirsts and pants for flowing fountains of water,"
"ita desiderat anima mea ad te, Deus.",http://www2.cpdl.org/wiki/index.php/Psalm_42,"That's how my soul desires, thirsting and panting for you, Father."
,See translation at Choral Public Domain Library.,
"Sitivit anima mea ad Deum fontem vivum,",,"Thus thirsting, yearning is my soul for God the strong and living:"
quando veniam et apparebo ante faciem Dei?,,When will I arrive to meet him and see the features of my Father?
"Fuerunt mihi lacrymae meae panes die ac nocte,",,"They can't sustain me, tears that I scatter, bread for me day and nighttime,"
dum dicitur mihi quotidie:,,"While every day, laughing, they say to me:"
Ubi est Deus tuus?,,Where is the God you long for?
,,
"Vulgate, Psalm 42",,Carol Anne Perry Lagemann
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
