Lyrics,Direct Translation,Poetic Translation
"S'ieｷus quier cosselh, bell'ami'Alamanda, ",LINK,"I need advice, Alamanda, your grand wit."
"noｷl mi vedetz, qu'om cochatz loｷus demanda; ",http://www.brindinpress.com/pobor057.htm,Please don't refuse; I・m sorry to demand it:
"que so m'a digh vostra dona truanda,",See James H. Donalson's translation at Brindin Press.,"Your mistress lies, for as she understands it,"
"que lonh son fors issitz de sa comanda, ",,"I would not bow if she were to command it,"
que so queｷm det m'estrai er aｷm desmanda.,,"And what she gave, she says, back I must hand it."
queｷm cossellatz?,,What would be wise?
"qu'a pauc lo cors dins d'ira noｷm abranda, ",,My heart・s on fire with rage to burn and brand it.
tan fort en sui iratz.,,What course do you advise?
,,
"Per Dieu, Giraut, ies aussi tot a randa ",,"Calm down, Giraut, and do just as I've planned it."
volers d'amic noｷs fai ni noｷs garanda; ,,"If you can't act, then friendly help・s just bland wit."
"quar si l'us falh, l'autre cove que blanda, ",,"When you're in pain, as your friend, I can't stand it."
que lur destrics no cresca ni s'espanda;,,I'll hide your shame from gossips who・d expand it.
"e s'elaｷus ditz d'aut pueg que sia landa, ",,"Each word she says you trust in it, you grant it,"
vos laｷn crezatz;,,Even bald lies.
"e plassa vos lo bes eｷl mals qu'ilh manda, ",,Your thoughts revolve around her; you're enchanted. 
qu'aissi seretz amatz.,,You are her dearest prize.
,,
"No puesc mudar /que contr'orguelh no gronda, ",,I will not change if my pride・s not complaining
"ia siatz vos, donzella, bel' e blonda: ",,"Now that you're here, cold reason・s rule sustaining:"
pauc d'iraｷus notz e parcs jois vos aonda: ,,"For you don't know joy or pain, love disdaining;"
mas ges no i etz primeira ni segonda!,,Thus you in peace above all go on reigning!
"et ieu que tem d'est' ira queｷm cofonda, ",,"But I・ve a heart, and I fear pain remaining."
"que m'en lausatz,",,Praise my best tries!
siｷm sent perir? queｷm traya pus vas l'onda!,,"And if I'm lost, in waves my death ordaining,"
mal cugh queｷm capdelatz.,,"Captain, that girl despise!"
,,
"Siｷm enqueretz d'aital razo prionda,",,"If what you want is enlightened explaining,"
"per Dieu, Giraut, no sai cum vos responda; ",,"God・s sake, Giraut, I have no words remaining."
pero siｷus par qu'ab pauc fos jauzionda:,,If it seemed I found your pain entertaining:
mais vuelh pelar mon prat qu'autreｷl mi tonda; ,,I・d rather chop these curls I・ve been maintaining.
"e si'ieｷus er'oi del plag far desironda,",,It・s best you try to please without complaining;
vos enserquatz,,Give in likewise.
cum son bel cors vos esdui' eｷus resconda; ,,"Since for your eyes her figure is enchaining,"
be par cum n'etz cochatz.,,Your heart your sense denies.
,,
"Donzella, uei mais no siatz trop parleira; ",,You shut your mouth: that・s too much of your natter.
"s'ilh m'a mentit mais de cent vetz premeira, ",,"Her mouth is full of poison, like an adder."
cuiatz vos doncs que totz temps lh'o sofieira? ,,How many lies can I let make me sadder?
semblaria qu'o fezes per nescieira ,,It・s because you・ve no friends with whom to chatter.
"d'autr'amistat. ar ai talan qu'ieｷus feira, ",,I・ll slap your face if I get any madder:
si noｷus calatz;,,Watch your replies!
melhor cosselh dera na Berenguieira ,,I・d get more use from Berenguieira・s patter.
que vos no mi donatz.,,How you antagonize!
,,
"L'hora vei'hieu, Giraut, qu'elaｷus o meira, ",,"Well, now I see she deserves you for that, sir:"
quar l'apellatz camiairitz ni leugeira; ,,You with complaints her reputation tatter.
per so cuiatz que del plag vos enquieira? ,,You want a truce? Then you・d best learn to flatter.
mas no cug ges que sia tan manieira;,,"Whining, all hope of compromise you shatter."
"ans er uei mais sa promessa derrieira, ",,You・d best expect that vow to make you gladder
"que queｷus digatz,",,She will revise.
si s'en destrenh tan que la ia vos ofieira ,,"If she can still forgive you for this matter,"
treva ni fi ni patz.,,It・d be a big surprise.
,,
"Bella, per Dieu, no perga vostr'aiuda, ",,"God, Gorgeous, don't end your cooperation;"
quar ben sabetz com mi fon convenguda. ,,You know our pact with every stipulation.
"s'ieu ai faillit per l'ira qu'ai aguda, ",,"If I have failed out of exasperation,"
"noｷm tenha dan, s'anc sentitz cum leu muda ",,Shame me no more; it came from adulation.
"cor d'amador, bella, e s'anc fos druda, ",,"If ever you have felt infatuation,"
del plag pensatz!,,Pity my sighs!
"que be vos dic: mortz sui, si l'ai perduda; ",,"If she is lost beyond all restoration,"
mas noｷlh o descubratz!,,Certain is my demise.
,,
"Senher amics, ia n'agr'ieu fi volguda, ",,"Sir, Friend, I・ve none of my own indignation,"
"mas elaｷm ditz qu'a drech s'es irascuda, ",,But she tells me she has justification.
"qu'autraｷn preietz, cum fols, tot a saubuda, ",,When people rate with frank examination
"que no la val, ni vestida ni nuda;",,"Her naked form, you give your estimation."
"noｷi fara donc, si noｷus gic, que vencuda,",,"If you don・t stop, then more collaboration"
s'autraｷn preiatz?,,I will despise.
"beｷus en valrai, ia l'ai'eu mantenguda, ",,"I want to help, but this miscalculation"
se mais noｷus hi mesclatz.,,I can・t just minimize.
,,
"Bella, per Dieu, si d'ela n'etz cresuda, ",,"Well, if she won・t give in to your persuasion,"
per me loi afiatz.,,I・ll back you up with sighs.
,,
"Ben o farai, mas quan vos er renduda ",,"I・m in, but when she offers consolation,"
"s'amors, no laｷus tolhatz!",,Some self-control is wise!
,,
Giraut de Bornelh & Alamanda,,Carol Anne Perry Lagemann
