Lyrics,Direct Translation,Poetic Translation
Teresica hermana,LINK,"Sister Teresica,"
De la fararirira,http://www2.cpdl.org/wiki/index.php/Teresica_hermana,"With a fararirira,"
Hermana Teresa.,See translation at Choral Public Domain Library.,"Teresa, sister mine,"
,,
Si a ti pluguiesse,,"Dear, I wonder whether"
Una noche sola,,For a single evening
Contigo durmiesse,,"We could sleep together,"
De la fararirira.,,With a fararirira.
,,
Una noche sola,,For a single evening
Yo bien dormiría,,"I would like it, maybe,"
Mas tengo gran miedo,,But I fear the next day
Qu m´empreñaría,,I may have a baby
De la fararirira.,,With a fararirira.
,,
Llama a Teresica y no viene,,"Though he calls her, she doesn't come out laughing;"
Tan mala noche tiene,,An awful night she's having.
Llámala su madre y ella calla.,,"Mother calls her, too, but she is silent."
,,
Juramento tiene hecho de matarla,,"In a rage, her mother swears an oath she'll kill her."
¡Qué mala noche tiene!,,This awful night she's having!
,,
Matheo Flecha el Viejo,,Carol Anne Perry Lagemann
