Lyrics,Direct Translation,Poetic Translation
"Quand je bois du vin clairet, ami, tout tourne",LINK,"When I'm drunk on claret wine, the world is turning."
Aussi désormais je bois Anjou ou Arbois,http://www2.cpdl.org/wiki/index.php/Tourdion_(Pierre_Attaingnant),From now on I think I'll drink Anjou or Arbois.
"Chantons et buvons, ã ce flacon faisons la guerre",See translation at Choral Public Domain Library.,"Sing, my friends, and drink, and wage a war upon the bottle,"
"Chantons et buvons, mes amis, buvons donc!",,"Sing, my friends, and drink, oh, my friends, sing and drink."
,,
"Le bon vin nous a rendu gais, chantons",,"Wine will make us merry, singing:"
"oublions nos peines, chantons!",,"Leave your sorrows all forgotten, and sing!"
En mangeant d'un gras jambon,,"Eating ham, let's drink and sing,"
À ce flacon faisons la guerre!,,And wage a war upon the bottle!
,,
"Buvons bien, buvons mes amis trinquons,",,"Drink, my friends, oh, drink well, my friends."
"Buvons, gaiement chantons!",,"Oh, drink and gladly sing. Let's sing."
En mangeant d'un gras jambon,,"Eating ham, let's drink and sing,"
À ce flacon faisons la guerre!,,And wage a war upon the bottle!
,,
Pierre Attaingnant,,Carol Anne Perry Lagemann
