Lyrics,Direct Translation,Poetic Translation
"Toutes les nuitz que sans vous je me couche,",LINK,"All the nights that I lie down without you,"
"Pensant à vous ne fay que sommeiller,",http://www2.cpdl.org/wiki/index.php/Toutes_les_nuitz_(Orlando_di_Lasso),"Thinking of you, I learn for sleep's abyss"
Et en revant jusques au resveiller,See translation at Choral Public Domain Library.,To dream of you until I wake from bliss.
"Incessemment vous quiers parmi la couche,",,I search for you as though the blankets hide you;
Et bien souvent au lieu de vostre bouche,,"Without your mouth, each time I think about you,"
En soupirant je baise l'oreiller.,,"I, sighing then, my pillow softly kiss."
,,
Clément Marot,,Carol Anne Perry Lagemann
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
