Lyrics,Direct Translation,Poetic Translation
Tres morillas me enamoran,I loved three Moorish girls,Three Moorish girls I fell for
En Jaén:,In Jaén:,In Jaén:
Axa y Fátima y Marién.,"Axa, Fátima, and Marién.","Axa, Fátima, and Marién."
,,
Tres morillas tan garridas,Three Moorish girls so lovely,Three young Moorish girls were shaded
Iban a coger olivas,Were going to pick olives,"In the olive grove, unaided:"
Y hallábanlas cogidas,And found themselves fucked,They were picked instead and sated
En Jaén:,In Jaén:,In Jaén:
Axa y Fátima y Marién.,"Axa, Fátima, and Marién.","Axa, Fátima, and Marién."
,,
Y hallábanlas cogidas,And found themselves fucked,They were picked instead and sated
Y tornaban desmayadas,And they passed out,And returned with colors faded
Y los colores perdidos,And lost their color,And their virtue desecrated
En Jaén:,In Jaén:,In Jaén:
Axa y Fátima y Marién.,"Axa, Fátima, and Marién.","Axa, Fátima, and Marién."
,,
Tres moricas tan lozanas,"Three Moriscas so lush,","Three Moriscas lush and lavish,"
Tres moricas tan lozanas,Three Moriscas so lush,Three Moriscas lush and lavish
Iban a coger mazanas,Were going to pick apples,Apple trees went out to ravish
En Jaén:,In Jaén:,In Jaén:
Axa y Fátima y Marién.,"Axa, Fátima, and Marién.","Axa, Fátima, and Marién."
,,
Anonymous,Carol Anne Perry Lagemann,Carol Anne Perry Lagemann
