Lyrics,Direct Translation,Poetic Translation
"Ubi caritas et amor, Deus ibi est.",LINK,"Where both charity and love are, God is present, too."
Congregavit nos in unum Christi amor.,http://www2.cpdl.org/wiki/index.php/Ubi_caritas,We are made one by the perfect love of Jesus.
"Exultemus, et in ipso iucundemur.",See translation at Choral Public Domain Library.,And in Him let us be joyful and contented.
"Timeamus, et amemus Deum vivum.",,Let us fear and let us love the God who lives on.
Et ex corde diligamus nos sincero.,,May we love each other frankly and sincerely.
,,
"Ubi caritas et amor, Deus ibi est.",,"Where both charity and love are, God is present, too."
Simul ergo cum in unum congregamur:,,"All the while we are united in one body,"
"Ne nos mente dividamur, caveamus.",,Careful lest we be divided in our spirit.
"Cessent iurgia maligna, cessent lites.",,"Evil impulses and strife must discontinue,"
Et in medio nostri sit Christus Deus.,,And may Christ in His holiness be among us.
,,
"Ubi caritas et amor, Deus ibi est.",,"Where both charity and love are, God is present, too."
"Simul quoque cum beatis videamus,",,With the saints who came before us may we one day
"Glorianter vultum tuum, Christe Deus:",,"Look upon Your face in glory, Christ our ruler,"
"Gaudium quod est immensum, atque probum,",,"Joy above joy that is good, immense and boundless,"
Saecula per infinita saeculorum.,,Lasting all through an infinity of ages.
,,
Amen.,,Amen.
,,
Anonymous,,Carol Anne Perry Lagemann
