Lyrics,Direct Translation,Poetic Translation
Under der linden,LINK,Under the linden
An der heide,http://www.lieder.net/lieder/get_text.html?TextId=36765,"In the wildlands,"
Dâ unser zweier bette was,See Elisabeth Siekhaus's work at LiederNet Archive.,"Where lay our cozy bed for two,"
Dâ muget ir vinden,,You will discover
Schône beide,,The place he piled strands
Gebrochen bluomen unde gras,,Of lovely flowers in the dew.
Vor dem walde in einem tal!,,"Near the forest in a vale,"
Tandaradei,,"Tanderadei,"
Schône sanc diu nahtegal.,,Sweetly sang the nightingale.
,,
Ich kam gegangen,,Into the vale I
zuo der ouwe,,"Walked serenely,"
dô was mîn friedel komen ê.,,And Friedel waited for me there
Dâ wart ich empfangen,,Like I'm a woman so
"hêre frouwe,",,Great and queenly;
daz ich bin sælic iemer mê!,,I won't forget his humble care.
Kust er mich? Wol tûsentstunt!,,"From a thousand kisses' thrill,"
Tandaradei,,"Tanderadei,"
seht wie rôt mir ist der munt!,,See how red my mouth is still.
,,
Dô hete er gemachet,,Waiting he made of
alsô rîche,,Flowers proudly
von bluomen eine bettestat;,,A soft and silky place to lie.
des wirt noch gelachet,,The sight would speak all our
inneclîche,,Secrets loudly
kumt iemen an daz selbe pfat.,,To anyone who happened by:
Bî den rôsen er wol mac -,,"Roses crushed and torn away,"
Tandaradei,,"Tanderadei,"
merken wâ mirz houbet lac!,,Marking where my body lay.
,,
Daz er bî mir læge,,If any knew we
wesse ez iemen,,"Lay together,"
"nu enwelle got so schamte ich mich,",,"God forbid, how ashamed I'd be."
wes er mit mir pflæge,,"The things we did no one,"
niemer niemen,,No one ever
bevinde daz wan er und ich.,,Must learn about but him and me
Und ein kleinez vogellîn -,,"And a tiny little bird,"
Tandaradei,,"Tanderadei,"
daz mac wol getriuwe sîn!,,Who will never speak a word.
,,
Walther von der Vogelweide,,Carol Anne Perry Lagemann
