Lyrics,Direct Translation,Poetic Translation
Unter all'n auf dieser Erden,LINK,"In the world's far ends to ends near,"
"soll mir keine lieber werden,",http://www2.cpdl.org/wiki/index.php/Unter_all%27n_auf_dieser_Erden_(Hans_Leo_Hassler),May I have no closer friend here
"denn die ich mir hab erwählet,",See Mick Swithinbank's work at Choral Public Domain Library.,"Than the one whom I have chosen,"
"Fa la la la la la, fa la.",,Fa la la la la la la la.
,,
"Ganz schön, wie sich's gebühret,",,"As is both right and fitting,"
"Ist sie mit Tugend zieret,",,"Her goodness never quitting,"
"Sie freut mein Herz, sag ich ohn' allen Scherz.",,"She makes me glad: I say it, and it's true."
"Fa la la la la la, fa la.",,Fa la la la la la la la.
,,
"Tut sie lieblich mich anblicken,",,"If she looks at me so sweetly,"
"Kann sie mir mein Herz erquicken,",,"Then my heart's refreshed completely,"
Daß mir alles Leid verschwindet.,,"All my sorrow then will vanish,"
"Fa la la la la la, fa la.",,Fa la la la la la la la.
,,
"Du süßer Trost mein's Leben,",,You are my consolation;
"Dir hab' ich mich ergeben,",,You have my adoration;
Und will allein dein Eigen allzeit sein!,,Forevermore I will be only yours!
"Fa la la la la la, fa la.",,Fa la la la la la la la.
,,
Hans Leo Hassler,,Carol Anne Perry Lagemann
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
