Lyrics,Direct Translation,Poetic Translation
"Veinticinco de diciembre,","Twenty-fifth of December,","Twenty-fifth day of December,"
"¡Fum, fum, fum!","Fum, fum, fum!","Fum, fum, fum!"
"Nascido ha por nuestro amor,",Born for love of us,On this day for love of us
El Niño Dios;,Is the Baby God,Is born our God
Hoy de la Vírgen María,Today of the Virgin Mary,Of the Virgin God had chosen
"En esta noche tan fría,","On this night so cold,","On a night so cold and frozen,"
"¡Fum, fum, fum!","Fum, fum, fum!","Fum, fum, fum!"
,,
"Pajaritos de los bosques,","Little birds of the forests,","Little birds down in the forest,"
"¡Fum, fum, fum!","Fum, fum, fum!","Fum, fum, fum!"
Vuestros hijos de coral,Your choir of children,"All your children safe at home,"
"Abandonad,","Abandon,",Leave them and come;
Y formad un muelle nido,And make a soft nest,Build a nest that's safe from danger
"A Jesús recién nacido,","For the newborn Jesus,","For the baby in the manger,"
"¡Fum, fum, fum!","Fum, fum, fum!","Fum, fum, fum!"
,,
"Estrellitas de los cielos,","Little stars of the heavens,","Little stars up in the heavens,"
"¡Fum, fum, fum!","Fum, fum, fum!","Fum, fum, fum!"
Que a Jesús miráis llorar,See Jesus crying,"When you see the baby cry,"
"Y no lloráis,",And do not cry;,Do not be sad;
Alumbrad la noche oscura,Light the dark night,Light the night so dark and tender
"Con vuestra luz clara y pura,","With your clear, pure light,","With your clear and shining splendor,"
"¡Fum, fum, fum!","Fum, fum, fum!","Fum, fum, fum!"
,,
Anonymous,Carol Anne Perry Lagemann,Carol Anne Perry Lagemann
