Lyrics,Direct Translation,Poetic Translation
Venus du und dein Kind,"Venus, you and your child","You, Venus, and your son"
seid alle beide blind,"are both blind,","Your deeds have blindly done,"
"und pflegt auch zu verblenden,",and you also cultivate blindness,And you encourage blindness
"wer sich zu euch tut wenden,","in whomever turns to you,","In those who beg your kindness,"
wie ich wohl hat erfahren,as I learned well,As I discovered clearly
in meinen jungen Jahren.,in the years of my youth.,When younger years were near me.
,,
"Amor, du Kindlein blo?,","Love, youfre just a little child;","Dear Love, you're just a child"
wenn dein vergiftet Gscho?,when your poisoned projectiles,Whose poisoned darts fly wild;
"das Herz einmal ber?hret,","once touch the heart,","Once in the heart theyfre rooted,"
der wird als bald verf?hret,"it soon becomes deceived,","That heart is soon deluded,"
wie ich wohl hat erfahren,as I learned well,As I discovered clearly
in meinen jungen Jahren.,in the years of my youth.,When younger years were near me.
,,
"F?r nur ein Freud allein,","For only one joy alone,",You with a single joy
"gibst du vieltausend Pein,",you give many thousand agonies;,A thousand pains deploy.
"f?r nur ein freundlichs Scherzen,","for only one friendly joke,",You give a note of laughter;
"gibst du vieltausend Schmerzen,","you give many thousand pains,","A thousand hurts come after,"
wie ich wohl hat erfahren,as I learned well,As I discovered clearly
in meinen jungen Jahren.,in the years of my youth.,When younger years were near me.
,,
Drum rat ich jedermann:,Thatfs why I advise everyone:,Thatfs why to all I say:
"von Lieb bald abzustahn,",quickly distance yourself from Love.,"Shun Love and run away,"
dann nichts ist zu erjagen,"For Love, you will chase after nothing","Or else the wind youfll follow,"
"in Lieb, dann Weh und Klagen,",and will have pain and complaints:,To seek whatfs cold and hollow.
das hat ich wohl erfahren,This have I learned well,I learned this very clearly
in meinen jungen Jahren.,in the years of my youth.,When younger years were near me.
,,
,,
Jacob Regnart,Carol Anne Perry Lagemann,Carol Anne Perry Lagemann
